"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173850348.63405","2067532467.53247","1063520722.19943","1200012843.51417","1311138636.33807","1507838735.18942","1641698946.23708","1736697182.63351","1952541820.81269","1900438465.96643","1970535935.80291","2182070540.84243","2458706347.955","2899936467.50868","3724967487.29965","5106476347.91383","6686478486.4643","9703722526.74893","12353321001.708","9006718249.36627","9718566137.71057","10502184909.0834","11042356185.4721","11804012824.1465","12131728948.9464","10981745196.8255","10791285342.4912","11934826619.5224","12676547765.0682","13900535495.7309","12446598216.9565",
"American Samoa","ASM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","75600000","77000000","67700000","68500000","79200000","84700000","105600000","127200000","139300000","151100000","166000000","178200000","189700000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","77296753.7037037","87479341.4814815","107279978.888889","130231026.666667","145841734.444444","160669278.888889","181144092.962963","207972846.296296","238223924.814815","254406807.407407","297215602.592593","367011801.851852","393313307.037037","414144444.444444","449507407.407407","469614814.814815","512237037.037037","562870370.37037","550422222.222222","607511111.111111","658462962.962963","706822222.222222","742754814.814815","781851481.481481","775693333.333333","772934777.777778","817700000","874644296.296296","980922740.740741","1110919629.62963","1260091851.85185","1308986333.33333","1177509333.33333","1120979666.66667","1102571925.92593","1160321814.81481","1142788111.11111","1188978482.33391","1252478572.43216","1339482995.73854","1389228019.95239","1527400663.26139","1555907463.40076","1390371092.38578",
"Australia","AUS","GNI (current US$)","NY.GNP.MKTP.CD","18601187143.0171","19622578116.2504","19941762795.3858","21435771082.988","23749580020.159","26001791913.9881","27199014447.3065","30170231828.8722","32349647216.9336","36080188150.9688","40788442154.7766","44637697390.5253","51727803738.3178","63757847533.6323","88504053058.2167","97364468114.1609","104903567376.781","109404679972.471","116886983983.758","133036464841.531","148170473537.604","176016486706.142","190045238883.372","175649976602.714","190887520376.743","177695021860.858","178787073307.219","185600847008.999","231230355064.028","291007246966.859","299796844940.362","312075975198.179","312156425440.283","303041736930.86","314915254237.288","354537422037.422","386119119878.604","419944435748.943","386307400122.092","376456949492.418","403232431074.546","367755178705.592","383921096693.177","453337798485.731","595007824726.135","667646218613.742","716994609164.421","815048284525.398","1010904207699.19","895265792961.272","1101613670395.49","1340587597357.78","1499127655186.64","1536979583461.58","1429082897273.48","1324063566020.47","1180243849177.46","1293016064559.92","1387449034958.53","1352020454870.55","1303127765115.97",
"Austria","AUT","GNI (current US$)","NY.GNP.MKTP.CD","6547435003.94828","7261554769.09295","7702864742.40645","8316686909.51263","9107032740.77774","9925462658.21539","10814480797.1072","11489682471.2034","12325481697.6437","13471334741.5813","15443633765.5464","17953394646.9876","22152287040.8953","29621908075.058","35366590842.1673","40232688630.7972","43082843445.578","51650574473.3994","62141791907.5145","74071758106.0216","82147201659.2214","70953553654.7434","71298486730.6606","72301811705.2245","68089737294.5465","69509477919.6595","98916000000","124038666739.225","133707123593.001","133607136765.471","167219692605.591","173663627578.079","195560524668.169","190907108718.798","203849993976.629","240111095946.499","237117494151.287","211805502311.422","216933192530.013","213744619646.282","195085959093.422","194639373601.79","212139375117.636","261037810383.747","300489570399.801","315305310284.79","336783339606.072","388299616753.353","433883404130.658","399998888580.161","395170908981.876","432573889519.503","409838651404.764","431228759906.245","442578740324.175","378058128962.087","395538833552.533","412304443648.549","450734470030.154","447294996188.235","426964327486.383",
"Azerbaijan","AZE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570195000","1192339808.9172","2411313809.90144","3164208531.90747","3952753355.91519","4433082579.4779","4536461165.04854","4937333817.61287","5340528830.66681","5851180004.11438","6834725180.73516","7979771649.53699","11600042521.6839","18302272330.4231","27970807831.2551","43586308422.5901","40772407439.6616","49442000747.5704","61091863998.987","65416863543.7882","70036719821.5424","72662436950.1466","51046644056.2171","35395431534.7496","39106056123.6347","44653352058.8235","46113221294.1176","42150898470.5882",
"Burundi","BDI","GNI (current US$)","NY.GNP.MKTP.CD","193892004","200819998","211212002","230278000","257986008","157479111.111111","156048000","166971428.571429","169680000","178171428.571429","235283428.571429","243766857.142857","235406857.142857","295982555.669407","336273015.873016","412341587.301587","437150144.927536","537186666.666667","595765555.555556","772336666.666667","921813333.333333","966146666.666667","1005555555.55556","1073595481.44164","974118285.857489","1131604109.70254","1181080844.35491","1103051149.23924","1059467929.76958","1096300427.94028","1117211760.24058","1156153553.73995","1069379682.96184","928818579.07743","913654989.848138","988018268.88428","855125492.320396","960396267.915425","885470806.166974","796772713.286962","884786065.883137","864477157.825014","811709078.127599","766758030.795662","887956197.145997","1099412999.83025","1264575020.63803","1350299364.97898","1607535901.77136","1764455092.55887","2021328757.97792","2218375352.21325","2326791619.96335","2453425818.10607","2698994625.06945","3102740741.29059","2958794934.60755","3167492069.36737","3043038796.49569","3019513461.38506","3274862978.00159",
"Belgium","BEL","GNI (current US$)","NY.GNP.MKTP.CD","11807650531.4178","12526323162.3247","13375866329.3162","14357591976.3048","16056233835.587","17501627559.3633","18795959368.4511","20151866620.6696","21553812529.3565","23898239777.8942","27089802339.6531","30210254913.2473","37705546695.9949","48300143862.5543","56680050745.6504","66428486344.1922","71947319749.2163","83582818232.9769","102036695273.473","116682691249.312","126898081114.637","104870916992.612","91784983224.4393","86845298619.3294","83204003071.7677","86372091854.0662","120264512371.32","150162393300.918","163105286889.742","164539499385.749","205980494929.986","211977481393.975","236359025094.103","228457699393.657","250882987701.953","294350437876.3","285695114006.515","258857352277.853","264807068237.386","264172277860.644","242291966095.449","240965995525.727","261601919819.311","323441873589.165","373654333250.559","390387887078.722","413784468699.034","476866548042.705","527755090083.492","490297165879.411","488333574084.956","523481684620.602","507695038585.313","534493384270.569","545897069014.275","468690289764.047","480302796401.782","506053307485.998","548769805384.96","539738514469.019","519911678048.25",
"Benin","BEN","GNI (current US$)","NY.GNP.MKTP.CD","225482256.374618","234942178.93575","235707398.233325","253176456.759629","269046284.249259","289108711.752874","302825280.936379","305821992.521166","324923111.412895","328248201.458221","331127773.89255","331970322.836033","408231890.87227","504376035.716401","556954764.489435","675570202.26034","698408244.385343","749849740.536153","929143313.336811","1187431250.04701","1402351617.0042","1287919998.96957","1261778450.07841","1082048347.00551","1021533916.74736","1024412704.80765","1310102040.42149","1533812033.87541","1595446185.67445","1464137967.57012","1921032589.5966","1955598277.10701","1634867229.43653","2234725312.9474","1562942658.78854","2125371478.40225","2315095219.60268","2238481586.12805","2441702858.09637","3665050651.65724","3507693634.21253","3651633565.49492","4166070199.63601","5311078927.05811","6153203071.47072","6549889474.76416","7003871605.13806","8120524839.68834","9776380257.70671","9705498255.89745","9481809629.16362","10677799712.0389","11074623453.1493","12448828492.8112","13223293316.2713","11295642530.0579","11718306954.0469","12561417748.3971","14105968057.8303","14248201879.9835","15488837234.83",
"Burkina Faso","BFA","GNI (current US$)","NY.GNP.MKTP.CD","334894683.458193","353437393.200117","388060809.61121","397465283.956502","413758165.215943","419289066.105609","432185731.834789","449034466.134067","458847277.903514","476700139.944284","458404330.125096","481906375.553147","577291786.296422","674535298.704468","748879357.985116","927901103.013398","967025139.516343","1111036655.04313","1464483145.79854","1739271805.02591","1924639176.2385","1766034537.0338","1744187907.23124","1590193730.74481","1454929871.31219","1546793106.48774","2030903473.20101","2361034550.86668","2602940566.70478","2603687662.6721","3093954852.0411","3125829319.6657","3344716325.55296","3180859743.83623","1881026818.03666","2369479998.13282","2593450635.16465","2445476074.98354","2802105646.59689","3393482747.50505","2964619404.17455","3178291895.10016","3588060318.58699","4686123998.48663","5406280264.27073","6082308114.38945","6528831919.79872","7603256785.93045","9414698383.8565","9333204306.50313","9807542028.87947","11592645414.5434","12243495998.7762","13080708252.0415","13337501703.1647","11293125626.5734","12261728542.5585","13577335799.2769","15376600312.1813","15326472487.9717","16664828374.0291",
