"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.703625386324565","0.705841997079903","0.697400732066221","1.02695325173635","2.01032364678581","2.32198401776274","2.32344895896773","2.08544515398921","2.04095567868898","2.06469439269806","3.05053776146548","3.56754487274582","2.30730927091136","2.28066315812737","2.96292539830538","2.1155772416531","1.26103937136401","1.47945388046333","1.66421167885218","1.61615452207957","1.59111215315318","1.40210446419043","1.09622787708312","1.11984076597113","1.4853861472967","1.32118937769737","1.092856429741","0.869177763306961","0.597339678894679","0.778276389671065","1.46719623654668","0.932278736419289","0.87012006575237","2.14321950893827","1.5043069933217","1.4446610318352","1.77981962424596","3.6096079526207","1.23696953694693","1.83001143048328","2.07006059919521","1.40567292317517","1.10724230958073","0.810023645178299","0.590041031569481","0.695974588303802","0.873784939487398","0.998933829053012","0.750048009773438","",
"Afghanistan","AFG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.0515362559424427","0.0869930395810375","","","","","","","","","","","","","","","","","","","","","0.00434099089229203","0.00742179054796238","0.016454884640078","0.0109036309490409","0.0111524113991172","0.0764152044481749","0.224465173426611","0.126422320655726","0.212188085387117","0.495356516225989","0.270285101037537","0.237255122486996","0.226599986405594","0.162117663035533","0.247302339719322","0.397626964335567","0.535542773023099","0.373839670727645","",
"Africa Western and Central","AFW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.00469740702811975","0.00753573360645583","0.00719401609512108","0.00776268266300943","0.00974679492381013","0.00481364426656434","0.007147233151264","0.00628492629620443","0.00406488385713953","0.004573929819467","0.00266880015723852","0.00212474178230268","0.00317002954677552","0.00379776707667733","0.00543253164851094","0.00413253457039319","0.00333993327556361","0.00326938997032102","0.00446194490597617","0.00407025825102329","0.00427016939556026","0.00356939415606538","0.0031842864483257","0.00282002291445195","0.00316876881080636","0.00233160276956356","0.0018907530077574","0.00135645993670604","0.000900148763098516","0.000540751001275593","0.00091063598479697","0.000808214958525684","0.000695816948898292","0.00181661425532516","0.000932716643872106","0.000752379245987021","0.00103465961064611","0.00209116112955853","0.000849733381018031","0.00170547598756077","0.00178348732904339","0.0011753948171727","0.000798086256305805","0.000594415848611994","0.000413581150060819","0.000541984950628909","0.000757694215460062","0.000793713300122483","0.000541576093824698","",
"Angola","AGO","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Albania","ALB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.368325704156816","0.556625381988312","0.152296785525418","0.048179542902903","0.0768914986372058","0.0909233961034251","0.224522159849684","0.204425722951728","0.0676891703700421","0.00230365036031502","0.00150284438353918","0.00281494122041657","0.00171115709984289","0.000352536799849674","0.000770609696589599","0.000110313316813777","0.000620563515184904","0.00127713646027997","0.000274594917235555","0.000890331430195623","0.00682202066302214","0.00307783255631526","0.00293141302764867","0.00403006491283054","0.0139850941802249","0.000729610825634702","0.00139476728328413","0.000801741060480121","0.000360916327692827","0.000108032600719083","0","0.00592411499204703","0.000387679986896928","0.0155765293228522","0.0335834077224718","0.0243771283513862","",
"Andorra","AND","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.000683185875105052","0.00091246881034923","0.00127760572736385","0.00276994322263505","0.0073711334791627","0.00468613758949838","0.00413954429306963","0.00315981035002439","0.00290671523789146","0.00264996689305392","0.00422527848407893","0.00508561701918838","0.0029713049674359","0.00229132653056743","0.00258780434574944","0.00147587873357397","0.000331982619515917","0.0007094914653382","0.000846192302847969","0.000715020767076589","0.00102038289458917","0.000727553251781272","8.11878142623863E-05","0.000103816693257019","0.00089378454943717","0.000407424038927308","0.000125135762080298","0.000116051698057583","0","5.28130687372697E-05","6.51557913953327E-05","3.0689948312368E-05","2.88899086203397E-05","0.000174364110964637","6.75580736168305E-05","6.19980087837208E-06","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"United Arab Emirates","ARE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Argentina","ARG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0","0","0","0.0016983586345765","0.0089006728781816","0.0113030405774611","0.00898876651050769","0.00542477151323788","0.00709634906568885","0.00654676904073181","0.0157241281179645","0.0161689598050609","0.0057698781815577","0.00504687697687971","0.00460042566995824","0.00123361927403076","0","0.000155693592248752","0.00220056459058165","0.000737055720447168","0.000527205608502199","9.895430510532E-05","0","0","8.99104632401128E-05","9.48077597122831E-06","0","0","0","0","2.83391898626282E-05","0","1.82082829906704E-08","0.000555633250120936","0.000123145308810451","0.000663039729829792","0.000868097726885652","0.00300687173912129","0.000361862457158003","0.000573381120638496","0.000910413672952206","0.000571810044832391","0.000378984643087802","0.000211509398765555","8.62683462392086E-05","7.00203274155281E-05","6.91602190315363E-05","0.000118583173820324","0.000100896618516774","",
