Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Volume (cubic metres) (En),Data qualifier,Volume (en mètre cube) (Fr),Qualificatifs de données
1990,1990,SK,Saskatchewan,Saskatchewan,Softwoods,Résineux,Private land,Terres privées,80000,e,80000,e
1990,1990,SK,Saskatchewan,Saskatchewan,Hardwoods,Feuillus,Provincial land,Terres provinciales,3010000,r,3010000,r
1990,1990,SK,Saskatchewan,Saskatchewan,Hardwoods,Feuillus,Private land,Terres privées,200000,e,200000,e
1990,1990,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,r,0,r
1990,1990,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Private land,Terres privées,0,e,0,e
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Softwoods,Résineux,Provincial land,Terres provinciales,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Softwoods,Résineux,Private land,Terres privées,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Hardwoods,Feuillus,Provincial land,Terres provinciales,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Hardwoods,Feuillus,Private land,Terres privées,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1990,1990,GC,Canada,Canada,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,GC,Canada,Canada,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,GC,Canada,Canada,Unspecified,Indéterminée,Federal land,Terres fédérales,3779100,E,3779100,E
1990,1990,MB,Manitoba,Manitoba,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,MB,Manitoba,Manitoba,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,83500,E,83500,E
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,186000,E,186000,E
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,6600,E,6600,E
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,24900,E,24900,E
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Hardwoods,Feuillus,Federal land,Terres fédérales,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Softwoods,Résineux,Federal land,Terres fédérales,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,NU,Nunavut,Nunavut,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,NU,Nunavut,Nunavut,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,NU,Nunavut,Nunavut,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,1100,E,1100,E
1990,1990,QC,Quebec,Québec,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,QC,Quebec,Québec,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,490000,E,490000,E
1990,1990,SK,Saskatchewan,Saskatchewan,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,462000,E,462000,E
1990,1990,YT,Yukon,Yukon,Hardwoods,Feuillus,Federal land,Terres fédérales,,n,,n
1990,1990,YT,Yukon,Yukon,Softwoods,Résineux,Federal land,Terres fédérales,,n,,n
1990,1990,YT,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Softwoods,Résineux,Private land regulated,Terres privées,2915700,a,2915700,a
1990,1990,BC,British Columbia,Colombie-Britannique,Hardwoods,Feuillus,Private land regulated,Terres privées,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Private land regulated,Terres privées,,u,,u
1990,1990,AB,Alberta,Alberta,Softwoods,Résineux,Provincial land,Terres provinciales,14332244,a,14332244,a
1990,1990,AB,Alberta,Alberta,Hardwoods,Feuillus,Provincial land,Terres provinciales,10497719,a,10497719,a
1990,1990,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Softwoods,Résineux,Provincial land,Terres provinciales,69218900,a,69218900,a
1990,1990,BC,British Columbia,Colombie-Britannique,Hardwoods,Feuillus,Provincial land,Terres provinciales,2318000,a,2318000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1990,1990,AB,Alberta,Alberta,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,AB,Alberta,Alberta,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,897000,E,897000,E
